id,created_at,updated_at,course_year,subject
1,"2025-11-01 01:56:56.247199","2025-11-01 01:56:56.247199",1st,"LATIN LANGUAGE & MEDICAL TERMINOLOGY"
2,"2025-11-01 01:59:58.270059","2025-11-01 01:59:58.270059",1st,"HISTORY OF MEDICINE"
3,"2025-11-01 02:00:37.501211","2025-11-06 21:24:47.105956",1st,"FUNDAMENTALS OF PSYCHOLOGY AND FUNDAMENTALS OF PEDAGOGICS"
4,"2025-11-01 02:01:07.369309","2025-11-01 02:01:07.369309",1st,"MEDICAL BIOLOGY"
5,"2025-11-01 02:01:39.018169","2025-11-06 21:40:38.470603",1st,"MEDICAL CHEMISTRY"
6,"2025-11-01 02:02:45.271847","2025-11-01 02:02:45.271847",1st,"HUMAN ANATOMY"
7,"2025-11-01 02:03:03.947207","2025-11-01 02:03:03.947207",1st,"HISTOLOGY, CYTOLOGY & EMBRYOLOGY"
8,"2025-11-01 02:03:19.291400","2025-11-01 02:03:19.291400",1st,"MEDICAL & BIOLOGICAL PHYSICS"
9,"2025-11-01 02:03:38.764898","2025-11-01 02:03:38.764898",1st,"POLITOLOGY (POLITICAL SCIENCE)"
10,"2025-11-01 02:06:47.759594","2025-11-01 02:06:47.759594",2nd,"BIOCHEMISTRY (BIOLOGICAL & BIO-ORGANIC CHEMISTRY)"
11,"2025-11-01 02:07:12.804531","2025-11-01 02:07:12.805544",2nd,"NORMAL PHYSIOLOGY"
12,"2025-11-01 02:07:30.282072","2025-11-01 02:07:30.282072",2nd,"MICROBIOLOGY, VIROLOGY & IMMUNOLOGY"
13,"2025-11-01 02:07:59.549350","2025-11-01 02:07:59.549350",2nd,"CLINICAL ANATOMY AND OPERATIVE SURGERY"
14,"2025-11-01 02:08:15.845141","2025-11-01 02:08:15.845141",2nd,"HYGIENE AND ECOLOGY"
15,"2025-11-01 02:08:33.567108","2025-11-01 02:08:33.568633",2nd,"MEDICAL INFORMATICS"
16,"2025-11-01 02:10:04.135984","2025-11-01 02:10:04.135984",3rd,"BASICS OF PSYCHOLOGY & PEDAGOGICS"
17,"2025-11-01 02:10:51.256433","2025-11-01 02:10:51.256433",3rd,"SOCIAL MEDICINE & ORGANISATION OF HEALTH PROTECTION SERVICES"
18,"2025-11-01 02:11:40.251997","2025-11-01 02:11:40.251997",3rd,"PATHOLOGICAL ANATOMY"
19,"2025-11-01 02:11:53.929741","2025-11-01 02:11:53.929741",3rd,"PHARMACOLOGY AND MEDICAL DISPENSING OF MEDICINE"
20,"2025-11-01 02:12:08.940578","2025-11-01 02:12:08.940578",3rd,"PATHOLOGICAL PHYSIOLOGY"
21,"2025-11-01 02:12:25.711475","2025-11-01 02:12:25.711475",3rd,"PROPAEDEUTICS OF CHILDREN’S DISEASES WITH THE CARE OF CHILDREN"
22,"2025-11-01 02:12:45.746929","2025-11-01 02:12:45.746929",3rd,"RADIODIAGNOSTICS AND RADIOTHERAPY"
23,"2025-11-01 02:13:01.933160","2025-11-01 02:13:01.934160",3rd,"GENERAL SURGERY WITH ANESTHESIOLOGY AND PATIENT CARE"
24,"2025-11-01 02:13:17.102719","2025-11-01 02:13:17.102719",3rd,"TOPOGRAPHIC ANATOMY"
25,"2025-11-01 02:13:31.504407","2025-11-01 02:13:31.504407",3rd,"OPERATIVE SURGERY"
26,"2025-11-01 02:13:45.475288","2025-11-01 02:13:45.475288",3rd,"PROPAEDEUTICS OF INTERNAL DISEASES WITH THE CARE OF PATIENTS"
27,"2025-11-01 02:13:59.933987","2025-11-01 02:13:59.933987",3rd,"GENERAL HYGIENE"
28,"2025-11-01 02:15:42.361037","2025-11-01 02:15:42.361037",4th,"OBSTETRICS AND GYNECOLOGY"
29,"2025-11-01 02:16:14.138955","2025-11-01 02:16:14.138955",4th,"REMEDIAL GYMNASTICS AND SPORTS MEDICINE"
30,"2025-11-01 02:16:31.011643","2025-11-01 02:16:31.012029",4th,"DERMATOVENEROLOGY (SKIN & VENEREAL DISEASES)"
31,"2025-11-01 02:16:45.006841","2025-11-01 02:16:45.006841",4th,"PSYCHIATRY, NARCOLOGY AND MEDICAL PSYCHOLOGY"
